/net11 X,/net11 Y,/net48 X,/net48 Y
-1.9,-0.2403660739191215,-1.9,0.8942197176535087
-1.802,0.06022503415013607,-1.802,0.8960138208605779
-1.704,0.2735041898994975,-1.704,0.9008685701482655
-1.606,0.3974354996065917,-1.606,0.9044024589669392
-1.508,0.4595008292540912,-1.508,0.9062803515489655
-1.409999999999999,0.4962647095047174,-1.409999999999999,0.9074313372204259
-1.311999999999999,0.5261598246256336,-1.311999999999999,0.9083950637211927
-1.213999999999999,0.5544789834617616,-1.213999999999999,0.9093409034555566
-1.115999999999999,0.5824525053407577,-1.115999999999999,0.9103231705481979
-1.017999999999999,0.6103513695653364,-1.017999999999999,0.9113799355871764
-0.9199999999999992,0.6382346268641781,-0.9199999999999992,0.9125638503204427
-0.8219999999999992,0.666115123017548,-0.8219999999999992,0.9139569853843105
-0.7239999999999992,0.6939956492684225,-0.7239999999999992,0.9156784850212436
-0.6259999999999992,0.7218768081290915,-0.6259999999999992,0.9178799312709209
-0.5279999999999992,0.7497587254535056,-0.5279999999999992,0.9207221266580133
-0.4299999999999993,0.7776414232784872,-0.4299999999999993,0.924336313272573
-0.3319999999999993,0.805524901013621,-0.3319999999999993,0.9287880466044941
-0.2339999999999993,0.8334091483743712,-0.2339999999999993,0.9340595905479996
-0.1359999999999993,0.8612941593403625,-0.1359999999999993,0.940054966374688
-0.03799999999999928,0.8891799473372776,-0.03799999999999928,0.946617552377112
0.06000000000000072,0.9170652510610364,0.06000000000000072,0.9535490865839025
0.1580000000000007,0.9449450436098797,0.1580000000000007,0.9606249722094226
0.2560000000000007,0.9728188011635507,0.2560000000000007,0.9676089665683953
0.3540000000000008,1.000686494146122,0.3540000000000008,0.9742632631059297
0.4520000000000007,1.028548062439066,0.4520000000000007,0.980360533478949
0.5500000000000007,1.056403457461084,0.5500000000000007,0.9857002468508587
0.6480000000000007,1.08425263013661,0.6480000000000007,0.9901314356420576
0.7460000000000007,1.112095531029582,0.7460000000000007,0.9935805447979738
0.8440000000000006,1.139932110536982,0.8440000000000006,0.9960742140492173
0.9420000000000006,1.167762319110554,0.9420000000000006,0.9977387088631506
1.040000000000001,1.195586107746236,1.040000000000001,0.9987648630125107
1.138000000000001,1.223403428817509,1.138000000000001,0.9993538203155685
1.236000000000001,1.251214237297822,1.236000000000001,0.9996725748602571
1.334000000000001,1.279018492494892,1.334000000000001,0.9998376024222245
1.432000000000001,1.306816160430323,1.432000000000001,0.9999203886156028
1.530000000000001,1.334607217139428,1.530000000000001,0.999961033485866
1.628000000000001,1.362391653691255,1.628000000000001,0.9999807035631627
1.726000000000001,1.390169485428097,1.726000000000001,0.9999901325064342
1.824000000000001,1.417940773163751,1.824000000000001,0.999994622284098
1.922000000000001,1.445705679976334,1.922000000000001,0.9999967516070277
2.020000000000001,1.473464635219532,2.020000000000001,0.9999977591250608
2.118000000000001,1.501218821947862,2.118000000000001,0.9999982351519825
2.216000000000001,1.528971638411061,2.216000000000001,0.9999984598569726
2.314000000000001,1.556733083479778,2.314000000000001,0.9999985658659559
2.412000000000001,1.584532862266705,2.412000000000001,0.9999986158600752
2.510000000000001,1.612459162583999,2.510000000000001,0.9999986394348253
2.608000000000001,1.640770986617771,2.608000000000001,0.9999986505554973
2.706,1.670209182876177,2.706,0.9999986558045247
2.804,1.702765626153771,2.804,0.9999986582620697
2.902,1.743194227076929,2.902,0.9999986593055237
3,1.800634230561669,3,0.9999986594704059
