/I0/p X,/I0/p Y
0,0
1.07421875e-07,4.979004556426269e-09
3.22265625e-07,1.493702927351477e-08
7.51953125e-07,3.485325035462965e-08
1.611328125e-06,7.468725295791417e-08
3.330078125e-06,1.543684912234418e-07
6.767578125e-06,3.138398459928728e-07
1.3642578125e-05,6.336661478220444e-07
2.7392578125e-05,1.280454308156745e-06
5.4892578125e-05,2.63191764141037e-06
0.000109892578125,5.818700380999159e-06
0.0001799462890625,1.175080708560531e-05
0.00025,2.170832580119145e-05
0.0002587567138671875,2.014535543421418e-05
0.0002762701416015625,1.732661058369469e-05
0.0003112969970703124,1.272224691051865e-05
0.0003813507080078123,6.418319614602572e-06
0.0005,0
0.000625,-8.502081856803598e-06
0.00075,-2.674663066726978e-05
0.000765625,-2.341435529720402e-05
0.0007968750000000001,-1.785604370244907e-05
0.0008593750000000001,-9.987066600445353e-06
0.0009296875000000001,-4.26481357590764e-06
0.001,0
0.00100025,1.751821951861636e-05
0.001000625,0.0002897387209354824
0.001001,0.004673739123869151
0.0010011875,0.004672902160245736
0.0010015625,0.004671231098610878
0.0010023125,0.004667900392130174
0.001003812499999999,0.004661284283974478
0.001006812499999999,0.004648230436927781
0.001012812499999998,0.004622814175006482
0.001024812499999996,0.00457458229916602
0.001048812499999992,0.004487358621563903
0.001074406249999996,0.004405834364919796
0.0011,0.004334082599992341
0.001101,0.004367249181453182
0.0011010625,0.002748720126826753
0.0011011875,0.001088891893707573
0.0011014375,0.0001708436928518987
0.00110171875,2.095625690496609e-05
0.001102,8.5882195908241e-08
0.001102140625,9.192139347605515e-08
0.0011022109375,9.494103803918845e-08
0.001102351562499999,1.00980423787199e-07
0.001102632812499999,1.130596101522596e-07
0.001103195312499998,1.372198694252386e-07
0.001104320312499995,1.855497508675636e-07
0.001106570312499991,2.822615031061346e-07
0.001111070312499981,4.760093597040847e-07
0.001120070312499962,8.657360510124836e-07
0.001138070312499925,1.661650435782905e-06
0.00117407031249985,3.381691856637197e-06
0.0012460703124997,7.900099321168315e-06
0.00135,2.011083388939464e-05
0.0013578125,1.881420451656723e-05
0.0013734375,1.644988075432628e-05
0.0014046875,1.250569742990467e-05
0.0014671875,6.911344189290755e-06
0.00153359375,2.995866687771147e-06
0.0016,0
0.0017328125,-8.546732229591067e-06
0.00185,-2.4778375420408e-05
0.0018578125,-2.318725042431856e-05
0.0018734375,-2.028443836906699e-05
0.0019046875,-1.543691407432969e-05
0.0019671875,-8.546732229591084e-06
0.00203359375,-3.709657971685492e-06
0.0021,8.379850384231761e-18
0.002100250000000001,1.622907293747628e-05
0.002100625,0.0002684171659040651
0.002101,0.004330374534746045
0.002101187500000001,0.004329883852183709
0.002101562500000001,0.004328903773839718
0.002102312500000002,0.004326948748554322
0.002103812500000003,0.004323059098652887
0.002106812500000006,0.004315360414947099
0.002112812500000012,0.004300277820970984
0.002124812500000024,0.004271313260271354
0.002148812500000048,0.004217763111905568
0.002174406250000024,0.004166300407806808
0.0022,0.004119832210126836
0.002201,0.00415214889576295
0.0022010625,0.002613352283583793
0.0022011875,0.001035266591612484
0.002201437500000001,0.0001624300526244658
0.002201718750000001,1.992421174620772e-05
0.002202,8.165270468729337e-08
0.002202140625000001,8.739448633085693e-08
0.002202210937500001,9.026542067507027e-08
0.002202351562500001,9.600738122685262e-08
0.002202632812500003,1.074916967681563e-07
0.002203195312500005,1.304621214859314e-07
0.002204320312500009,1.764118727177624e-07
0.002206570312500019,2.683608041849333e-07
0.002211070312500037,4.525670456796612e-07
0.002220070312500074,8.231006364851266e-07
0.002238070312500147,1.57981815555648e-06
0.002274070312500294,3.21515168086452e-06
0.002346070312500588,7.511038464859133e-06
0.00245,1.91204237771497e-05
0.0024578125,1.788765027672152e-05
0.0024734375,1.56397637629618e-05
0.0025046875,1.188982196380658e-05
0.0025671875,6.570977140767317e-06
0.00263359375,2.848327471902495e-06
0.0027,0
0.0028328125,-8.125826260530298e-06
0.00295,-2.355810013414479e-05
0.0029578125,-2.204533421031654e-05
0.0029734375,-1.928547865449605e-05
0.0030046875,-1.467668325122418e-05
0.0030671875,-8.125826260530262e-06
0.003133593750000001,-3.526966254955386e-06
0.003200000000000001,1.593432588791029e-17
0.00320025,1.542983019903186e-05
0.003200625,0.0002551982672307508
0.003201,0.004117403462056721
0.0032011875,0.004117081393776428
0.0032015625,0.004116437941624707
0.003202312499999999,0.00411515376817913
0.003203812499999997,0.004112596290785557
0.003206812499999993,0.004107524387057145
0.003212812499999985,0.004097549439452137
0.003224812499999969,0.004078249317859192
0.003248812499999938,0.004042058865826501
0.003274406249999969,0.004006643263351862
0.0033,0.00397411508466611
0.003301,0.004005743746622594
0.0033010625,0.00252121279752626
0.0033011875,0.0009987659895761996
0.003301437500000001,0.000156703223653443
0.00330171875,1.922173981315584e-05
0.003302,7.877385888732772e-08
0.003302140625,8.431320138287297e-08
0.0033022109375,8.708291461858948e-08
0.0033023515625,9.262242971453346e-08
0.003302632812499999,1.037018404373898e-07
0.003303195312499998,1.25862392279715e-07
0.003304320312499995,1.701920839082278e-07
0.003306570312499991,2.588991534404626e-07
0.003311070312499981,4.366107985005061e-07
0.003320070312499963,7.94080412112511e-07
0.003338070312499925,1.52411818970721e-06
0.00337407031249985,3.10179443262811e-06
0.0034460703124997,7.246220273888756e-06
0.00355,1.844629115784194e-05
0.0035578125,1.725698180018282e-05
0.0035734375,1.508834947247513e-05
0.0036046875,1.147062012408878e-05
0.0036671875,6.339302880670034e-06
0.00373359375,2.747903418457871e-06
0.0038,-2.116020947989451e-20
0.003932812500000001,-7.839332372900199e-06
0.00405,-2.272750746870783e-05
0.0040578125,-2.126807743672581e-05
0.0040734375,-1.860552666224493e-05
0.0041046875,-1.415922448366687e-05
0.0041671875,-7.839332372900162e-06
0.00423359375,-3.402615297708052e-06
0.0043,0
0.00430025,1.488581757835037e-05
0.004300625000000001,0.0002462006906957823
0.004301,0.003972402027237256
0.004301187499999999,0.003972174529726117
0.004301562499999998,0.003971719941072331
0.004302312499999995,0.003970812385855325
0.00430381249999999,0.003969003736836812
0.004306812499999979,0.00396541207079717
0.004312812499999957,0.00395832958738743
0.004324812499999914,0.003944555043549986
0.004348812499999827,0.003918470771428875
0.004374406249999914,0.003892617643692527
0.0044,0.003868581697678114
0.004401,0.003899656415854742
