/net35 X,/net35 Y,/net50 X,/net50 Y
-1.8,1.895715480149427,-1.8,1.000809271292268
-1.728,1.79625599479731,-1.728,1.000809273191463
-1.656,1.719967905575877,-1.656,1.000809271964983
-1.584,1.664234869753343,-1.584,1.000809264331782
-1.512,1.621160586015107,-1.512,1.000809241829546
-1.44,1.583811604246438,-1.44,1.000809184190987
-1.368,1.548606808915538,-1.368,1.000809039446952
-1.296,1.514138739770778,-1.296,1.000808675630949
-1.224,1.479915420519972,-1.224,1.000807761158447
-1.151999999999999,1.44577216333222,-1.151999999999999,1.000805464340251
-1.079999999999999,1.411654635004524,-1.079999999999999,1.000799707993155
-1.007999999999999,1.3775450018911,-1.007999999999999,1.000785338573205
-0.9359999999999993,1.343437423438349,-0.9359999999999993,1.00074974819044
-0.8639999999999992,1.309329990701534,-0.8639999999999992,1.000662711817007
-0.7919999999999991,1.275222082258637,-0.7919999999999991,1.00045420311849
-0.7199999999999991,1.241113498000997,-0.7199999999999991,0.9999711742142663
-0.647999999999999,1.207004175571989,-0.647999999999999,0.9989097678488821
-0.575999999999999,1.172894097612197,-0.575999999999999,0.9967515394345109
-0.5039999999999989,1.138783261448973,-0.5039999999999989,0.9927898055767903
-0.4319999999999989,1.104671669205153,-0.4319999999999989,0.9863271085041114
-0.3599999999999989,1.070559324577139,-0.3599999999999989,0.9769589174177438
-0.2879999999999989,1.036446231831468,-0.2879999999999989,0.9647318875140087
-0.2159999999999989,1.002332345394719,-0.2159999999999989,0.9500957732914467
-0.1439999999999989,0.9682178384492848,-0.1439999999999989,0.9337585210510644
-0.07199999999999884,0.9341025557343244,-0.07199999999999884,0.9165548653529837
0,0.8999864683632099,0,0.8993567887449502
0.07200000000000001,0.8658727621055426,0.07200000000000001,0.8830099266861343
0.144,0.8317646332772418,0.144,0.8682676469176631
0.216,0.7976620843511858,0.216,0.8557077843428297
0.288,0.7635649785482574,0.288,0.8456317984061218
0.36,0.7294735260063122,0.36,0.8379823051680628
0.4320000000000001,0.6953877048327759,0.4320000000000001,0.8323653190808193
0.504,0.6613075471345792,0.504,0.8282084847195207
0.5760000000000001,0.6272330852465842,0.5760000000000001,0.8249683971605675
0.6480000000000001,0.5931643517262228,0.6480000000000001,0.8222495480722105
0.7200000000000002,0.5591013793465871,0.7200000000000002,0.8198130252816829
0.7920000000000003,0.5250442010912536,0.7920000000000003,0.8175316136177256
0.8640000000000003,0.490992850126629,0.8640000000000003,0.8153428521188096
0.9360000000000004,0.4569473597703608,0.9360000000000004,0.8132176023190182
1.008,0.4229077634410129,1.008,0.8111427788994476
1.080000000000001,0.3888740945902535,1.080000000000001,0.8091128197892553
1.152000000000001,0.3548463866085511,1.152000000000001,0.8071257708188737
1.224000000000001,0.3208246727012438,1.224000000000001,0.8051816123048365
1.296000000000001,0.2868089857303076,1.296000000000001,0.8032817099256132
1.368000000000001,0.2527993580158429,1.368000000000001,0.8014290103519409
1.440000000000001,0.2187958210868088,1.440000000000001,0.799629293261798
1.512000000000001,0.1847984053582102,1.512000000000001,0.797895296531094
1.584000000000001,0.1508071396817641,1.584000000000001,0.7962585261328466
1.656000000000001,0.1168220506468505,1.656000000000001,0.7947837174836025
1.728000000000001,0.0828431613490427,1.728000000000001,0.7935373883713311
1.8,0.04887048898441815,1.8,0.7925321555173309
